"Time (s)","Illuminance (lx)"
1.336346940E-1,8.000000000E0
2.536083100E-1,7.000000000E0
4.536532330E-1,8.000000000E0
8.537310040E-1,7.000000000E0
1.173684928E0,8.000000000E0
1.293662697E0,7.000000000E0
1.854419698E0,8.000000000E0
1.973682083E0,7.000000000E0
2.814394701E0,8.000000000E0
3.133683317E0,9.000000000E0
3.973667319E0,1.000000000E1
4.093683934E0,9.000000000E0
4.173659935E0,8.000000000E0
4.494331705E0,9.000000000E0
5.133675937E0,8.000000000E0
5.214348553E0,7.000000000E0
5.373678168E0,8.000000000E0
5.454383015E0,9.000000000E0
5.973702156E0,8.000000000E0
6.093722233E0,7.000000000E0
6.414414542E0,8.000000000E0
6.573739157E0,9.000000000E0
6.733742773E0,8.000000000E0
6.894408620E0,7.000000000E0
7.013766466E0,8.000000000E0
7.134567774E0,9.000000000E0
7.773709314E0,1.000000000E1
7.813825314E0,9.000000000E0
8.094361622E0,8.000000000E0
8.373691469E0,9.000000000E0
9.054447471E0,8.000000000E0
9.333971472E0,9.000000000E0
1.205393001E1,8.000000000E0
1.233376639E1,9.000000000E0
1.297371955E1,8.000000000E0
1.325373008E1,9.000000000E0
1.361445039E1,8.000000000E0
1.385442939E1,9.000000000E0
1.397376455E1,1.000000000E1
1.405376639E1,9.000000000E0
1.457444140E1,8.000000000E0
1.481456147E1,9.000000000E0
1.497371901E1,8.000000000E0
1.525400971E1,9.000000000E0
1.565441362E1,8.000000000E0
1.621419977E1,9.000000000E0
1.661419231E1,8.000000000E0
1.685415877E1,9.000000000E0
1.725411416E1,8.000000000E0
1.757419016E1,9.000000000E0
1.769482962E1,8.000000000E0
1.777416216E1,7.000000000E0
1.801417116E1,8.000000000E0
1.853432285E1,9.000000000E0
1.897414993E1,1.000000000E1
1.941428070E1,9.000000000E0
1.993413886E1,8.000000000E0
2.025415447E1,9.000000000E0
2.121370316E1,8.000000000E0
2.145371054E1,9.000000000E0
2.237385178E1,1.000000000E1
2.269385578E1,9.000000000E0
2.345454124E1,8.000000000E0
2.353380370E1,9.000000000E0
2.361376962E1,8.000000000E0
2.397372032E1,9.000000000E0
2.409377909E1,8.000000000E0
2.441442409E1,9.000000000E0
2.449379847E1,1.000000000E1
2.481370247E1,9.000000000E0
2.493370809E1,8.000000000E0
2.517372624E1,9.000000000E0
2.529381117E1,1.000000000E1
2.533377724E1,9.000000000E0
2.553385663E1,8.000000000E0
2.581369746E1,9.000000000E0
2.633443777E1,1.000000000E1
2.665373293E1,9.000000000E0
2.793385785E1,8.000000000E0
2.873443693E1,9.000000000E0
2.905373478E1,8.000000000E0
2.957377232E1,9.000000000E0
2.969445717E1,8.000000000E0
2.997410701E1,9.000000000E0
3.009385594E1,8.000000000E0
3.021381755E1,7.000000000E0
3.033374117E1,8.000000000E0
3.041441840E1,9.000000000E0
3.145373677E1,8.000000000E0
3.169387339E1,9.000000000E0
3.189376293E1,8.000000000E0
3.213373716E1,9.000000000E0
3.297368793E1,8.000000000E0
3.317375216E1,9.000000000E0
3.325374478E1,1.000000000E1
3.337378632E1,9.000000000E0
3.345372086E1,8.000000000E0
3.365370847E1,7.000000000E0
3.373379801E1,8.000000000E0
3.385371132E1,7.000000000E0
3.417378455E1,8.000000000E0
3.445391217E1,7.000000000E0
3.497439770E1,5.000000000E0
3.505388240E1,3.000000000E0
3.517376270E1,5.000000000E0
3.525386640E1,7.000000000E0
3.557375955E1,5.000000000E0
3.561376763E1,4.000000000E0
3.565373278E1,2.000000000E0
3.573379700E1,1.000000000E0
3.597386216E1,0.000000000E0
3.649377177E1,2.000000000E0
3.653376400E1,4.000000000E0
3.657374008E1,5.000000000E0
3.665444770E1,7.000000000E0
3.689452216E1,6.000000000E0
3.697374531E1,4.000000000E0
3.701376654E1,3.000000000E0
3.705379547E1,1.000000000E0
3.741388831E1,0.000000000E0
3.813373670E1,1.000000000E0
3.853376039E1,2.000000000E0
3.857442524E1,1.000000000E0
3.869389478E1,3.000000000E0
3.873376439E1,2.000000000E0
3.877380716E1,0.000000000E0
3.881441609E1,1.000000000E0
3.889376001E1,2.000000000E0
3.893377632E1,3.000000000E0
3.897374132E1,5.000000000E0
3.901377016E1,4.000000000E0
3.909376655E1,5.000000000E0
3.921376532E1,7.000000000E0
3.925377393E1,5.000000000E0
3.929452070E1,4.000000000E0
3.933394870E1,5.000000000E0
3.953465609E1,4.000000000E0
3.957388009E1,5.000000000E0
3.961376440E1,7.000000000E0
3.965376286E1,5.000000000E0
3.973389486E1,3.000000000E0
3.989378255E1,1.000000000E0
3.993384801E1,0.000000000E0
3.997377517E1,1.000000000E0
4.001444432E1,3.000000000E0
4.005379394E1,5.000000000E0
4.013396863E1,3.000000000E0
4.017375024E1,5.000000000E0
4.021382001E1,6.000000000E0
4.037373886E1,5.000000000E0
4.041384309E1,4.000000000E0
4.045375301E1,5.000000000E0
4.049440709E1,4.000000000E0
4.057374101E1,3.000000000E0
4.065373509E1,2.000000000E0
4.077375416E1,1.000000000E0
4.101373947E1,2.000000000E0
4.105389108E1,4.000000000E0
4.109391639E1,5.000000000E0
4.113385631E1,7.000000000E0
4.477373570E1,6.000000000E0
4.481444555E1,7.000000000E0
7.157387601E1,5.000000000E0
7.161374516E1,4.000000000E0
7.165385816E1,3.000000000E0
7.169441478E1,2.000000000E0
7.181387785E1,1.000000000E0
7.193449962E1,2.000000000E0
7.209370032E1,3.000000000E0
7.217443808E1,5.000000000E0
