"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.586807600E-2,3.029891551E-1,9.896016866E-2,-2.260201424E-1
2.644538400E-2,3.029891551E-1,9.896016866E-2,-2.260201424E-1
3.643761500E-2,3.029891551E-1,9.896016866E-2,-2.260201424E-1
4.646507600E-2,3.029891551E-1,9.896016866E-2,-2.260201424E-1
5.642684500E-2,-8.045095205E-1,-1.166752577E0,2.138028294E-2
6.645399900E-2,-6.475171447E-1,-1.219897866E0,5.131268129E-2
7.644623000E-2,-4.483750761E-1,-1.215011001E0,8.429940045E-2
8.644376900E-2,-2.364048511E-1,-1.208902359E0,1.111774743E-1
9.643515300E-2,-2.871066704E-2,-1.240667343E0,1.264491081E-1
1.064683840E-1,1.759291887E-1,-1.333518863E0,1.398881376E-1
1.164241530E-1,3.714060783E-1,-1.471574426E0,1.649336219E-1
1.264573840E-1,5.528330207E-1,-1.641394973E0,2.021963894E-1
1.364438460E-1,7.122688890E-1,-1.806328535E0,2.241875380E-1
1.464465380E-1,8.460483551E-1,-1.924225569E0,2.125810981E-1
1.564327690E-1,9.755517840E-1,-1.987144589E0,1.740965992E-1
1.664653070E-1,1.134987593E0,-2.076941729E0,6.536258012E-2
1.764216920E-1,1.356731653E0,-2.256536245E0,-9.896016866E-2
1.864520760E-1,1.653001308E0,-2.514321327E0,-2.828305960E-1
1.964413840E-1,1.941329718E0,-2.701857090E0,-4.728097022E-1
2.064432300E-1,2.163684607E0,-2.835636377E0,-6.377432942E-1
2.164303070E-1,2.225992918E0,-2.901609898E0,-7.269296646E-1
2.264606920E-1,2.209499598E0,-3.102584600E0,-8.362745047E-1
2.364192300E-1,2.105652571E0,-3.215594769E0,-1.071457624E0
2.464496920E-1,1.754405022E0,-2.943759680E0,-1.213178396E0
2.564389230E-1,1.091005325E0,-2.594955444E0,-1.337794900E0
2.664395380E-1,3.170390725E-1,-2.698191881E0,-1.387274981E0
2.764278460E-1,-7.965682745E-1,-3.729332209E0,-1.292590857E0
2.864610770E-1,-1.177748203E0,-4.606534958E0,-9.517280459E-1
2.964474610E-1,-1.355509996E0,-5.088507652E0,-6.377432942E-1
3.064500000E-1,-1.402546644E0,-5.203350067E0,-4.086688459E-1
3.164364610E-1,-1.378722906E0,-5.034140587E0,-2.144137025E-1
3.264696920E-1,-1.319468975E0,-4.546669960E0,-2.284636050E-1
3.364256150E-1,-1.255328059E0,-3.883881330E0,-4.324925840E-1
3.464580000E-1,-1.180802464E0,-3.201544762E0,-7.342600226E-1
3.564450000E-1,-1.107498646E0,-2.601064205E0,-1.007927656E0
3.664477690E-1,-1.037249207E0,-2.174680233E0,-1.130100727E0
3.764343080E-1,-9.590584636E-1,-1.808771968E0,-1.068403363E0
3.864665380E-1,-8.405506015E-1,-1.435533285E0,-8.533787727E-1
3.964232310E-1,-6.261368990E-1,-1.100168347E0,-5.283984542E-1
