"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.579576800E-2,-6.177040577E0,8.700529099E0,6.244078159E0
2.635576800E-2,-5.691017628E0,8.398859978E0,6.612784863E0
3.636538400E-2,-4.991910458E0,8.061277390E0,6.897695065E0
4.637523000E-2,-4.036623955E0,7.675810814E0,7.223306656E0
5.635453800E-2,-3.189076662E0,7.307103634E0,7.438784599E0
6.636415300E-2,-2.319981337E0,6.983886242E0,7.402871609E0
7.637399900E-2,-1.527500629E0,6.610390663E0,6.936002254E0
8.635330700E-2,-7.900865674E-1,6.165069580E0,6.382941723E0
9.636292200E-2,-2.944868207E-1,5.657498837E0,5.963956356E0
1.063727690E-1,-1.221042871E-1,5.152322292E0,5.743690014E0
1.163520760E-1,-1.005564705E-1,4.759673119E0,5.583278179E0
1.263616920E-1,8.858546615E-2,4.489128113E0,5.420472622E0
1.363715380E-1,6.703764796E-1,4.254496574E0,5.133168221E0
1.463508460E-1,9.145850539E-1,4.043806553E0,5.075707436E0
1.563604610E-1,1.403002143E0,3.797203779E0,5.499481201E0
1.663703070E-1,1.843535304E0,3.837905407E0,6.284779549E0
1.763496150E-1,1.874659896E0,4.170699596E0,7.457938194E0
1.863592300E-1,1.984793186E0,4.589684486E0,7.845798969E0
1.963690770E-1,1.932120800E0,4.872200489E0,7.208941460E0
2.063483840E-1,1.611297727E0,5.796362400E0,4.517858505E0
2.163580000E-1,2.521094322E0,7.065289021E0,3.260902643E0
2.263678460E-1,4.096478939E0,7.611167431E0,3.086126089E0
2.363471540E-1,2.815581083E0,6.950367451E0,2.408566952E0
2.463570000E-1,2.473210335E0,7.615955830E0,1.649604917E0
2.563666150E-1,3.112462163E-2,9.337387085E0,3.222595453E0
2.663459230E-1,-5.865794420E-1,1.192791271E1,4.570530891E0
2.763557690E-1,-3.122039080E0,1.174116516E1,9.323021889E0
2.863653840E-1,-2.643198729E0,1.064222622E1,1.240675354E1
2.963752310E-1,-9.481038451E-1,1.039083576E1,1.318008041E1
3.063545380E-1,-1.436521053E0,1.019451046E1,1.228464890E1
3.163641540E-1,-4.285621047E-1,9.217676163E0,1.117373943E1
3.263740000E-1,9.983820915E-1,7.982268333E0,1.010353088E1
3.363533080E-1,2.212242365E0,7.429207802E0,9.117119789E0
3.463629230E-1,2.363077164E0,7.592013359E0,8.468291283E0
3.563727690E-1,1.115697980E0,8.015787125E0,7.891288757E0
3.663520770E-1,-6.440402865E-1,8.224082947E0,7.671022415E0
3.763619230E-1,-2.305616140E0,8.274360657E0,7.876923561E0
3.863715380E-1,-3.816357613E0,8.444349289E0,8.944737434E0
3.963508460E-1,-4.515464306E0,8.128314972E0,9.473855972E0
4.063604620E-1,-4.496310711E0,7.137115479E0,8.906430244E0
4.163703080E-1,-2.923320293E0,6.873753071E0,8.590395927E0
4.263496160E-1,-7.972691655E-1,4.802768707E0,7.110779285E0
4.363592310E-1,1.889025092E0,2.176329374E0,5.698200226E0
4.463690770E-1,2.269703150E0,1.721431017E0,4.429273129E0
4.563483850E-1,-4.405331016E-1,3.148375273E0,4.630385876E0
4.663580000E-1,-3.713406801E0,3.574543238E0,6.150704384E0
4.763678460E-1,-5.056553841E0,3.150769472E0,7.038952827E0
4.863471540E-1,-5.379771233E0,2.439691544E0,7.450755596E0
4.963570000E-1,-5.738901615E0,6.200982332E-1,7.395689011E0
5.063666160E-1,-5.360617638E0,-2.178723514E-1,6.904877663E0
5.163459230E-1,-3.090914488E0,5.171475410E-1,7.058106422E0
5.263557700E-1,-6.416460276E-1,2.339135170E0,7.445967197E0
5.363653850E-1,-2.686294317E0,1.752555609E0,6.514622688E0
5.463752310E-1,-3.969586372E0,7.158663273E-1,6.696582317E0
5.563545390E-1,-5.707777023E0,-4.189853072E-1,7.091625214E0
5.663641540E-1,-7.417236805E0,-4.860229492E-1,7.419631004E0
5.763740000E-1,-9.306262016E0,3.902548850E-1,8.075642586E0
5.863533080E-1,-9.289502144E0,1.702277422E0,8.657433510E0
5.963629240E-1,-7.714118004E0,3.107673883E0,8.161833763E0
6.063727700E-1,-5.566518784E0,4.398148537E0,7.125144482E0
6.163520780E-1,-5.221754074E0,6.449979305E0,7.520187378E0
6.263616930E-1,-5.983109951E0,8.295908928E0,8.954314232E0
6.363715390E-1,-5.410895824E0,9.205705643E0,9.892841339E0
6.463508470E-1,-3.890577793E0,1.017535686E1,1.211944866E1
6.563604620E-1,-3.406949043E0,1.023521233E1,1.433169174E1
6.663703080E-1,-3.481169224E0,8.829815865E0,1.796848297E1
6.763496160E-1,-2.920926094E0,7.225700855E0,1.705150414E1
6.863592320E-1,5.032611847E0,9.349357605E0,1.368765068E1
6.963690780E-1,7.905653954E0,1.080024433E1,9.823410034E0
7.063483850E-1,7.168240070E0,9.062053680E0,6.337451935E0
7.163580010E-1,8.841787338E0,1.166694450E1,6.423643112E0
7.263678470E-1,1.027591324E1,1.100614548E1,6.696582317E0
7.363471550E-1,1.246660805E1,8.518569946E0,6.689399719E0
7.463570010E-1,1.217451572E1,8.518569946E0,5.173870087E0
7.563666160E-1,6.655880928E0,1.011310768E1,4.010287762E0
7.663459240E-1,-1.565807939E0,1.336682796E1,4.474762917E0
7.763557700E-1,-4.189853191E0,1.408508873E1,6.773196697E0
7.863653860E-1,2.978386879E0,8.664615631E0,6.361393929E0
7.963752320E-1,6.416460514E0,5.219359875E0,5.456385612E0
8.063545390E-1,5.975927353E0,5.827486992E0,6.208165169E0
8.163641550E-1,8.032546997E0,5.602431774E0,8.473079681E0
8.263740010E-1,8.942343712E0,4.999093056E0,1.012507915E1
8.363533090E-1,7.129932880E0,4.623203278E0,1.588552856E1
8.463629240E-1,8.482656479E0,2.655169725E0,1.111388397E1
8.563727700E-1,7.570465565E0,1.453280449E0,9.339780807E0
8.663520780E-1,7.132327080E0,-1.221042871E-1,7.043741226E0
8.763616940E-1,6.325480938E0,-1.005564690E0,4.077325344E0
8.863715400E-1,6.782773495E0,-1.750161409E0,1.616086125E0
8.963508470E-1,6.888118267E0,-2.518700123E0,4.285621047E-1
9.063604630E-1,7.115567684E0,-3.797203779E0,-8.571242094E-1
9.163703090E-1,5.252878666E0,-4.417302132E0,-2.061407566E0
9.263496170E-1,3.912125587E0,-3.588908434E0,-7.924807668E-1
9.363592320E-1,2.406172752E0,-4.125209332E0,3.256114423E-1
9.463690780E-1,6.895300746E-1,-4.807557106E0,1.915361404E0
9.563483860E-1,9.576806426E-2,-4.771644115E0,3.387795448E0
9.663580010E-1,9.097966552E-2,-4.024652958E0,2.736572504E0
9.763678480E-1,2.442085743E-1,-3.011905670E0,4.955997467E-1
9.863471550E-1,-5.985504389E-1,-2.183511972E0,-2.806004286E0
9.963570010E-1,-1.553836942E0,-5.937620401E-1,-6.162675381E0
1.006366617E0,1.865083098E0,2.264914751E0,-8.520963669E0
1.016345925E0,-1.235408068E0,3.787626982E0,-8.078036308E0
1.026355771E0,-5.442020416E0,3.660734415E0,-2.039859772E0
1.036365386E0,3.658340216E0,3.366247654E0,-8.140285611E-1
1.046375232E0,5.772420406E0,2.932897091E0,7.180211067E0
1.056354540E0,8.410830498E0,8.044517636E-1,1.196861458E1
1.066364156E0,1.163342571E1,5.746083856E-1,1.501643276E1
1.076374002E0,1.170764637E1,1.848323703E0,1.619198608E1
1.086353309E0,1.063743782E1,2.896984100E0,1.276348972E1
1.096362925E0,8.808267593E0,2.762908697E0,6.878541470E0
1.106372771E0,8.030152321E0,2.420537949E0,1.125274777E0
1.116352079E0,9.234436035E0,2.233790159E0,-2.408566952E0
1.126361694E0,1.135330486E1,2.990357876E0,-2.509123325E0
1.136371540E0,1.480095482E1,4.853046894E0,2.609679997E-1
1.146350848E0,1.982638359E1,7.122750282E0,2.262520552E0
1.156360463E0,2.540966225E1,1.001015759E1,-4.118026793E-1
1.166370310E0,2.904884911E1,1.442745972E1,-6.256049156E0
1.176349617E0,3.254917145E1,1.934754372E1,-1.199016190E1
1.186359233E0,3.493858719E1,2.114798355E1,-1.566286755E1
1.196369079E0,3.326743317E1,2.099236107E1,-1.436999893E1
1.206348387E0,2.726277542E1,2.178723526E1,-9.272743225E0
1.216358002E0,1.985990334E1,1.988384438E1,-4.127603531E0
1.226367848E0,8.987833023E0,1.873702240E1,1.222958183E1
1.236347156E0,6.770802498E0,1.715445518E1,1.250730991E1
1.246357002E0,3.694253206E0,1.532289124E1,1.730050087E1
1.256366617E0,2.406172752E0,1.440830612E1,2.029325294E1
1.266345925E0,2.310404539E0,1.414973164E1,2.178962898E1
1.276355771E0,2.717418909E0,1.365892029E1,2.162921906E1
1.286365387E0,4.565742493E0,1.275870132E1,1.952231979E1
1.296375233E0,5.377377033E0,1.172440529E1,1.674983597E1
1.306354541E0,6.318298340E0,1.055124664E1,1.337401104E1
1.316364156E0,7.546523571E0,9.425971985E0,1.010592556E1
1.326374002E0,9.160215378E0,8.485051155E0,8.010998726E0
1.336353310E0,1.105402946E1,7.891288757E0,7.285555840E0
1.346362925E0,1.290235329E1,7.508216381E0,7.675810814E0
1.356372772E0,1.538035202E1,7.809885979E0,8.992621422E0
1.366352079E0,1.759977722E1,8.465897560E0,1.131739140E1
1.376361695E0,1.972822189E1,8.379706383E0,1.319923401E1
1.386371541E0,2.127008820E1,9.466673851E0,1.552639771E1
1.396350849E0,2.216073036E1,1.014423275E1,1.626620674E1
1.406360464E0,2.152866173E1,9.354146004E0,1.418564510E1
1.416370310E0,1.936669731E1,7.556100368E0,1.057040024E1
1.426349618E0,1.782722664E1,6.993463039E0,7.996633530E0
1.436359233E0,1.778652382E1,6.222530365E0,5.164293289E0
1.446369079E0,1.712093544E1,5.147533417E0,2.506729126E0
1.456348387E0,1.561258888E1,4.192247391E0,1.316810995E-1
1.466358003E0,1.314656162E1,3.138798475E0,-1.618480325E0
1.476367849E0,1.046745014E1,1.884236693E0,-3.069366693E0
1.486347157E0,7.649474621E0,7.015010715E-1,-4.094084740E0
1.496357003E0,4.355052948E0,-1.987187415E-1,-4.007893562E0
1.506366618E0,2.329558372E0,-1.007958889E0,-3.361459255E0
1.516345926E0,1.391031146E0,-1.855506301E0,-2.719813108E0
1.526355772E0,1.072602391E0,-2.650381327E0,-2.269703150E0
1.536365387E0,1.218648672E0,-3.342305660E0,-2.188300371E0
1.546375234E0,1.455674648E0,-4.194641590E0,-2.590526342E0
1.556354541E0,1.307234168E0,-4.683058739E0,-3.114856482E0
1.566364157E0,9.337386489E-1,-5.109226227E0,-3.983951569E0
1.576374003E0,1.115697980E0,-5.738901615E0,-4.879383087E0
