"Time (s)","Illuminance (lx)"
8.658353800E-2,6.000000000E1
1.266069220E-1,5.800000000E1
1.666155380E-1,5.400000000E1
2.065887690E-1,5.100000000E1
2.465957690E-1,4.700000000E1
2.866023070E-1,4.400000000E1
3.666075380E-1,4.000000000E1
4.066093850E-1,3.700000000E1
4.466083850E-1,2.900000000E1
4.865986160E-1,2.400000000E1
5.265995390E-1,2.000000000E1
5.666250000E-1,1.900000000E1
6.066982310E-1,1.800000000E1
8.066841550E-1,1.900000000E1
8.467391550E-1,2.000000000E1
8.868536940E-1,2.200000000E1
9.266493090E-1,2.600000000E1
9.666558480E-1,2.900000000E1
1.126690540E0,2.300000000E1
1.166698233E0,1.600000000E1
1.206810617E0,1.000000000E1
1.246654925E0,8.000000000E0
1.286811233E0,7.000000000E0
1.366956079E0,6.000000000E0
1.446679772E0,7.000000000E0
1.526690618E0,5.000000000E0
1.566873618E0,4.000000000E0
1.606912695E0,3.000000000E0
1.646721311E0,2.000000000E0
1.686732388E0,1.000000000E0
1.926706004E0,3.000000000E0
1.966734235E0,5.000000000E0
2.006713312E0,8.000000000E0
2.046684466E0,1.200000000E1
2.086670543E0,1.400000000E1
2.126703543E0,1.600000000E1
2.166703850E0,1.700000000E1
2.286675851E0,1.400000000E1
2.326711159E0,1.000000000E1
2.366677697E0,6.000000000E0
2.406824466E0,5.000000000E0
2.446696082E0,4.000000000E0
2.566822851E0,3.000000000E0
2.686884775E0,5.000000000E0
2.726732390E0,6.000000000E0
2.766689390E0,9.000000000E0
2.806690237E0,1.100000000E1
2.846699852E0,1.300000000E1
2.886709083E0,1.500000000E1
2.926658852E0,1.600000000E1
3.006760468E0,1.400000000E1
3.046854929E0,1.100000000E1
3.086800699E0,8.000000000E0
3.126712776E0,5.000000000E0
3.166846007E0,3.000000000E0
3.406960776E0,4.000000000E0
3.446697392E0,6.000000000E0
3.486660392E0,9.000000000E0
3.526657392E0,1.000000000E1
3.606827238E0,1.100000000E1
3.646706546E0,1.300000000E1
3.766669085E0,1.000000000E1
3.806698008E0,7.000000000E0
3.846731470E0,4.000000000E0
3.886696470E0,1.000000000E0
4.126657624E0,2.000000000E0
4.166792701E0,4.000000000E0
4.206815240E0,6.000000000E0
4.246665702E0,8.000000000E0
4.286718548E0,9.000000000E0
4.366811471E0,1.200000000E1
4.406806856E0,1.300000000E1
4.486838933E0,1.200000000E1
4.526815241E0,1.000000000E1
4.566688164E0,8.000000000E0
4.606834241E0,6.000000000E0
4.646813703E0,4.000000000E0
4.766811780E0,3.000000000E0
4.886732703E0,5.000000000E0
4.926699857E0,7.000000000E0
4.966832472E0,9.000000000E0
5.006688396E0,1.000000000E1
5.046740165E0,9.000000000E0
5.086736704E0,1.000000000E1
5.126854934E0,1.200000000E1
5.206649704E0,1.100000000E1
5.246807473E0,9.000000000E0
5.286827242E0,7.000000000E0
5.326868166E0,6.000000000E0
5.366767550E0,5.000000000E0
5.486660693E0,6.000000000E0
5.566794154E0,8.000000000E0
5.606856693E0,1.100000000E1
5.646700924E0,1.300000000E1
5.686665616E0,1.500000000E1
5.726667693E0,1.600000000E1
5.766736309E0,1.700000000E1
5.806634847E0,1.800000000E1
5.926637001E0,1.700000000E1
5.966674155E0,1.500000000E1
6.006819079E0,1.100000000E1
6.046712002E0,8.000000000E0
6.086673309E0,5.000000000E0
6.326866772E0,6.000000000E0
6.366790849E0,8.000000000E0
6.406675079E0,1.000000000E1
6.446693618E0,1.200000000E1
6.486654234E0,1.300000000E1
6.566682849E0,1.400000000E1
6.726676926E0,1.300000000E1
6.766650465E0,1.100000000E1
6.806656619E0,8.000000000E0
6.846682542E0,7.000000000E0
6.966648388E0,6.000000000E0
7.046657850E0,5.000000000E0
7.126662773E0,6.000000000E0
7.166690851E0,7.000000000E0
7.246656697E0,8.000000000E0
7.326674851E0,1.200000000E1
7.366748697E0,1.300000000E1
7.486670851E0,1.200000000E1
7.526660928E0,9.000000000E0
7.566692621E0,5.000000000E0
7.726808083E0,4.000000000E0
7.806648006E0,6.000000000E0
7.846833544E0,8.000000000E0
7.886684621E0,1.100000000E1
