"Time (s)","Illuminance (lx)"
9.317885100E-2,5.000000000E1
1.332234670E-1,5.100000000E1
1.732277740E-1,5.300000000E1
2.141061590E-1,5.700000000E1
2.532409280E-1,6.100000000E1
2.932080820E-1,6.600000000E1
3.333656210E-1,7.000000000E1
3.732259290E-1,7.200000000E1
4.133096210E-1,8.000000000E1
4.538920830E-1,8.300000000E1
5.732080830E-1,8.200000000E1
6.133153910E-1,7.800000000E1
6.534123910E-1,7.400000000E1
6.940773140E-1,7.000000000E1
7.334296220E-1,6.800000000E1
8.134243910E-1,6.700000000E1
8.932667760E-1,6.600000000E1
9.341538530E-1,6.400000000E1
9.732778530E-1,6.300000000E1
1.013341853E0,5.900000000E1
1.093290161E0,5.000000000E1
1.133268623E0,4.000000000E1
1.173966161E0,2.900000000E1
1.213361931E0,2.200000000E1
1.253266777E0,1.700000000E1
1.293273008E0,1.500000000E1
1.333338469E0,1.300000000E1
1.493400393E0,1.500000000E1
1.533287085E0,1.600000000E1
1.573429855E0,1.900000000E1
1.613250162E0,2.300000000E1
1.653898239E0,2.600000000E1
1.693379393E0,2.900000000E1
1.733252932E0,3.000000000E1
1.933463394E0,2.900000000E1
1.973273009E0,2.700000000E1
2.013313240E0,2.500000000E1
2.053308394E0,2.400000000E1
2.093468702E0,2.200000000E1
2.173560318E0,2.100000000E1
2.413296087E0,2.000000000E1
2.613942242E0,1.900000000E1
2.653288703E0,1.800000000E1
2.733283703E0,1.700000000E1
2.773267473E0,1.400000000E1
2.813258242E0,1.000000000E1
2.854184627E0,5.000000000E0
2.893316319E0,2.000000000E0
2.933265012E0,0.000000000E0
3.453424231E0,1.000000000E0
3.493396154E0,4.000000000E0
3.533336155E0,6.000000000E0
3.574415309E0,9.000000000E0
3.733308232E0,6.000000000E0
3.773298386E0,5.000000000E0
3.814080771E0,4.000000000E0
3.893285463E0,3.000000000E0
3.933284540E0,1.000000000E0
3.973452233E0,3.000000000E0
4.013427540E0,4.000000000E0
4.053977463E0,6.000000000E0
4.133278310E0,4.000000000E0
4.173321079E0,3.000000000E0
4.294227233E0,1.000000000E0
4.333472464E0,0.000000000E0
4.613300157E0,2.000000000E0
4.653397157E0,6.000000000E0
4.693304465E0,1.100000000E1
4.733304542E0,1.400000000E1
