"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.195376900E-2,1.588249654E-1,6.261368990E-1,8.521569967E-1
3.252923100E-2,1.588249654E-1,6.261368990E-1,8.521569967E-1
4.252330700E-2,1.588249654E-1,6.261368990E-1,8.521569967E-1
5.254884600E-2,1.588249654E-1,6.261368990E-1,8.521569967E-1
6.251253800E-2,-2.681698501E-1,-2.376265824E-1,-5.497787148E-3
7.253807700E-2,-4.037819207E-1,-4.123340547E-1,-2.382374369E-2
8.253253800E-2,-4.459316432E-1,-5.082398653E-1,-4.703662544E-2
9.252738500E-2,-4.453207552E-1,-5.516113043E-1,-7.574728876E-2
1.025212310E-1,-4.025602043E-1,-5.467243791E-1,-1.026253626E-1
1.125519230E-1,-3.347541690E-1,-5.070181489E-1,-1.075122803E-1
1.225104610E-1,-2.608394623E-1,-4.465425014E-1,-7.452555746E-2
1.325409230E-1,-1.966986060E-1,-3.946189582E-1,-5.497787148E-3
1.425300770E-1,-1.624901593E-1,-3.756821156E-1,9.773843735E-2
1.525300770E-1,-1.539380401E-1,-3.909537494E-1,2.009746730E-1
1.625190770E-1,-1.649336219E-1,-4.624249935E-1,2.693915665E-1
1.725495390E-1,-1.942551434E-1,-5.876523852E-1,2.828305960E-1
1.825080000E-1,-2.474004179E-1,-7.275404930E-1,2.590068579E-1
1.925384620E-1,-3.188716471E-1,-8.362745047E-1,2.101376504E-1
2.025276160E-1,-4.153883755E-1,-8.741481900E-1,1.472185254E-1
2.125276920E-1,-5.161811113E-1,-8.552113175E-1,8.185594529E-2
2.225165390E-1,-6.035348773E-1,-8.002334833E-1,3.298672289E-2
2.325470000E-1,-6.603453159E-1,-7.446447611E-1,2.076941915E-2
2.425055390E-1,-6.817256212E-1,-7.409795523E-1,5.009094998E-2
2.525362310E-1,-6.640105247E-1,-7.617489696E-1,1.123992056E-1
2.625251540E-1,-6.243042946E-1,-8.429940343E-1,1.881465018E-1
2.725559230E-1,-5.900958180E-1,-9.841039181E-1,2.547308207E-1
2.825141540E-1,-5.424483418E-1,-1.028697014E0,2.535090744E-1
2.925448470E-1,-5.119050741E-1,-1.034805775E0,1.808161139E-1
3.025337700E-1,-5.229006410E-1,-1.022588372E0,9.224065393E-2
3.125335390E-1,-5.674937963E-1,-9.877691269E-1,1.954768784E-2
3.225226930E-1,-6.462954283E-1,-9.834930301E-1,-3.359758854E-2
3.325532310E-1,-7.531968355E-1,-1.032973170E0,-7.391469181E-2
3.425116930E-1,-8.735373020E-1,-1.054353356E0,-1.221730486E-1
3.525423850E-1,-9.865473509E-1,-1.026864529E0,-1.576032341E-1
3.625313080E-1,-1.120937705E0,-9.694431424E-1,-1.789835095E-1
3.725313080E-1,-1.221730471E0,-9.724974632E-1,-1.667662114E-1
3.825202310E-1,-1.319468975E0,-9.639453292E-1,-1.386664063E-1
3.925507700E-1,-1.423926830E0,-1.010371089E0,-8.246681094E-2
4.025092310E-1,-1.450194120E0,-9.902125597E-1,-2.138028294E-2
4.125399240E-1,-1.389107585E0,-9.217956662E-1,2.932153270E-2
