"Time (s)","Illuminance (lx)"
8.865938900E-2,4.800000000E1
2.086546970E-1,4.700000000E1
3.286623900E-1,4.600000000E1
4.086686210E-1,4.500000000E1
5.687159290E-1,4.400000000E1
6.887058520E-1,4.300000000E1
8.087335450E-1,4.600000000E1
8.487320060E-1,4.800000000E1
8.888824680E-1,5.000000000E1
9.287202370E-1,5.300000000E1
1.008720622E0,5.400000000E1
1.128713238E0,5.500000000E1
1.208767700E0,5.700000000E1
1.328682084E0,5.300000000E1
1.368689469E0,5.400000000E1
1.568919393E0,6.000000000E1
1.608723085E0,6.100000000E1
1.648749470E0,6.300000000E1
1.688748547E0,6.400000000E1
1.808734086E0,6.000000000E1
1.848877470E0,5.400000000E1
1.888740317E0,4.900000000E1
1.928739932E0,4.300000000E1
2.008740625E0,4.200000000E1
2.168699933E0,4.100000000E1
2.448694164E0,4.200000000E1
2.488874164E0,4.300000000E1
2.528721164E0,4.900000000E1
2.568737164E0,5.500000000E1
2.608841472E0,6.100000000E1
2.688748242E0,6.700000000E1
2.768726472E0,6.500000000E1
2.808743703E0,6.300000000E1
2.848740857E0,5.700000000E1
2.888839011E0,5.000000000E1
2.928751319E0,4.900000000E1
2.968730704E0,5.400000000E1
3.048728550E0,5.300000000E1
3.128746166E0,5.700000000E1
3.168877550E0,5.600000000E1
3.288755320E0,5.500000000E1
3.328707320E0,5.400000000E1
3.408940551E0,5.300000000E1
3.448702474E0,5.200000000E1
3.489233461E0,5.100000000E1
3.528768846E0,5.000000000E1
3.568786077E0,4.900000000E1
3.608927846E0,4.800000000E1
3.688959923E0,4.700000000E1
3.768940539E0,4.600000000E1
3.808881078E0,4.500000000E1
3.848903308E0,4.400000000E1
3.928782616E0,4.300000000E1
4.048734001E0,4.400000000E1
4.128772155E0,4.500000000E1
4.168738309E0,4.600000000E1
4.208723848E0,4.700000000E1
4.248767232E0,4.800000000E1
4.288784463E0,4.900000000E1
4.328720156E0,5.000000000E1
4.368763617E0,5.100000000E1
4.408745464E0,5.200000000E1
4.448735002E0,5.300000000E1
4.488839002E0,5.400000000E1
4.528783618E0,5.500000000E1
4.568745156E0,5.600000000E1
4.728744464E0,5.700000000E1
4.848763003E0,5.600000000E1
4.928863234E0,5.500000000E1
4.968764157E0,5.300000000E1
5.008758619E0,5.000000000E1
5.048854004E0,4.800000000E1
5.088904773E0,4.600000000E1
5.168855850E0,4.400000000E1
5.208755235E0,4.300000000E1
5.248882696E0,4.200000000E1
5.288758389E0,4.100000000E1
5.328747850E0,4.000000000E1
5.408905466E0,3.900000000E1
5.488750389E0,3.800000000E1
5.528772235E0,3.700000000E1
5.568771236E0,3.600000000E1
5.608768543E0,3.100000000E1
5.648770620E0,2.500000000E1
5.688739620E0,1.900000000E1
5.728864467E0,1.400000000E1
5.768760236E0,1.300000000E1
6.008915621E0,1.400000000E1
6.168749775E0,1.500000000E1
6.928897085E0,1.600000000E1
7.048739624E0,1.700000000E1
7.088780855E0,1.900000000E1
7.128770316E0,2.100000000E1
7.168885470E0,2.200000000E1
7.208819932E0,2.400000000E1
7.568772240E0,2.500000000E1
7.768896241E0,2.400000000E1
7.808746395E0,2.200000000E1
7.848765395E0,2.000000000E1
7.888747010E0,1.900000000E1
7.928909395E0,1.700000000E1
8.008731318E0,1.600000000E1
8.048758626E0,1.500000000E1
8.088739626E0,1.400000000E1
8.128886088E0,1.200000000E1
8.208962396E0,1.100000000E1
8.248895550E0,9.000000000E0
8.328888781E0,8.000000000E0
8.368754627E0,5.000000000E0
8.408783935E0,3.000000000E0
8.448727319E0,1.000000000E0
8.488877473E0,0.000000000E0
8.649299539E0,1.000000000E0
8.809208847E0,0.000000000E0
9.249192464E0,1.000000000E0
9.289371233E0,2.000000000E0
9.329176848E0,4.000000000E0
9.369205387E0,5.000000000E0
9.409368156E0,6.000000000E0
9.449282003E0,5.000000000E0
9.569202695E0,6.000000000E0
9.609148464E0,5.000000000E0
9.809157157E0,4.000000000E0
9.849364234E0,3.000000000E0
1.012917839E1,4.000000000E0
1.016929747E1,5.000000000E0
1.024916754E1,6.000000000E0
1.028920639E1,7.000000000E0
1.032914939E1,8.000000000E0
1.036928577E1,7.000000000E0
1.064932085E1,6.000000000E0
1.068917839E1,5.000000000E0
1.072934270E1,6.000000000E0
1.076934054E1,7.000000000E0
1.088929062E1,5.000000000E0
1.092936108E1,3.000000000E0
1.096917247E1,4.000000000E0
1.100919770E1,5.000000000E0
1.108929862E1,3.000000000E0
1.120917216E1,5.000000000E0
1.140915716E1,7.000000000E0
1.208920016E1,6.000000000E0
1.236917162E1,7.000000000E0
1.288917224E1,6.000000000E0
1.376915792E1,5.000000000E0
1.400914285E1,6.000000000E0
1.412917631E1,7.000000000E0
1.648930070E1,5.000000000E0
1.652916370E1,3.000000000E0
1.656916432E1,1.000000000E0
1.660917416E1,0.000000000E0
1.692915816E1,1.000000000E0
1.700914532E1,2.000000000E0
1.704927416E1,3.000000000E0
1.708916162E1,5.000000000E0
1.712935139E1,8.000000000E0
1.716914286E1,1.400000000E1
1.720928101E1,2.000000000E1
1.724935816E1,2.500000000E1
1.728932647E1,2.800000000E1
1.744915486E1,2.700000000E1
1.748934686E1,2.600000000E1
1.756920955E1,2.500000000E1
1.760928132E1,2.400000000E1
1.776917393E1,2.500000000E1
1.784929024E1,2.600000000E1
1.788914501E1,2.700000000E1
1.796929732E1,2.800000000E1
1.804918840E1,2.900000000E1
1.820912470E1,3.000000000E1
1.828919424E1,2.900000000E1
1.844913970E1,2.800000000E1
1.848914432E1,2.700000000E1
1.864874708E1,2.900000000E1
1.868874339E1,3.100000000E1
1.872871692E1,3.400000000E1
1.876887823E1,3.700000000E1
1.880873969E1,4.000000000E1
1.884875569E1,4.200000000E1
1.888887354E1,4.400000000E1
1.892875362E1,4.500000000E1
1.904878616E1,4.400000000E1
1.908874623E1,4.300000000E1
1.924879916E1,4.400000000E1
1.928874677E1,4.600000000E1
1.932874870E1,4.900000000E1
1.936880500E1,5.100000000E1
1.940895916E1,5.500000000E1
1.944873323E1,5.800000000E1
1.948872985E1,6.100000000E1
1.952875362E1,6.300000000E1
1.956874685E1,6.600000000E1
1.960875793E1,7.100000000E1
1.964886277E1,7.800000000E1
1.968875447E1,8.300000000E1
1.972872154E1,8.400000000E1
1.980896000E1,8.500000000E1
1.984876739E1,8.700000000E1
1.988876893E1,8.900000000E1
1.992888654E1,8.800000000E1
1.996893608E1,8.600000000E1
2.000877077E1,8.400000000E1
2.004892162E1,8.500000000E1
2.008876524E1,8.700000000E1
2.012888408E1,8.800000000E1
2.016874524E1,8.700000000E1
2.020890931E1,8.600000000E1
2.028888500E1,8.700000000E1
2.032872408E1,8.800000000E1
2.040875447E1,9.000000000E1
2.044872524E1,9.200000000E1
2.048875939E1,9.300000000E1
2.052887539E1,9.400000000E1
2.064892408E1,9.200000000E1
2.068893785E1,8.600000000E1
2.072875631E1,8.200000000E1
2.076873208E1,8.000000000E1
2.092887085E1,8.300000000E1
2.096895570E1,8.800000000E1
2.100875332E1,9.100000000E1
2.104887608E1,9.500000000E1
2.108876316E1,9.800000000E1
2.112874432E1,1.030000000E2
2.116875878E1,1.080000000E2
2.120874308E1,1.140000000E2
2.124875301E1,1.200000000E2
2.128875209E1,1.240000000E2
2.132873762E1,1.270000000E2
2.136871262E1,1.300000000E2
2.140874901E1,1.330000000E2
2.144874708E1,1.350000000E2
2.148885609E1,1.370000000E2
2.152874009E1,1.380000000E2
2.160873608E1,1.390000000E2
2.164885632E1,1.410000000E2
2.168889355E1,1.430000000E2
2.172874278E1,1.470000000E2
2.176891386E1,1.520000000E2
2.180889116E1,1.560000000E2
2.184894216E1,1.600000000E2
2.188872062E1,1.620000000E2
2.196874555E1,1.630000000E2
2.200871601E1,1.640000000E2
2.212889109E1,1.650000000E2
2.216874070E1,1.660000000E2
2.220887416E1,1.670000000E2
