"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.188207700E-2,-4.386177540E0,3.648763418E0,7.208941460E0
3.244184600E-2,-4.414907932E0,3.672705412E0,7.134721279E0
4.245169200E-2,-4.429273129E0,3.706224203E0,7.192182064E0
5.246146100E-2,-4.331110954E0,3.675099611E0,7.268796444E0
6.244061500E-2,-4.256890774E0,3.646369219E0,7.383718014E0
7.245046100E-2,-4.163516521E0,3.586514235E0,7.623138428E0
8.246023100E-2,-4.007893562E0,3.526659012E0,7.886500359E0
9.243938500E-2,-3.869029999E0,3.459621429E0,8.173804283E0
1.024492310E-1,-3.768473387E0,3.418920040E0,8.470685959E0
1.124590000E-1,-3.804386616E0,3.454833031E0,8.722076416E0
1.224381540E-1,-3.897760391E0,3.517082214E0,8.911218643E0
1.324480000E-1,-4.070142746E0,3.531447411E0,8.966285706E0
1.424577690E-1,-4.276044369E0,3.663128614E0,9.042900085E0
1.524371540E-1,-4.189853191E0,3.679888010E0,8.983044624E0
1.624467690E-1,-3.938461781E0,3.562572241E0,8.710105896E0
1.724566150E-1,-3.773261786E0,3.318363667E0,8.355764389E0
1.824359230E-1,-3.739742994E0,3.141192675E0,8.176198959E0
1.924455390E-1,-3.744531393E0,3.043030262E0,7.953537941E0
2.024553850E-1,-3.715801001E0,3.033453465E0,7.920019150E0
2.124346920E-1,-3.624821424E0,3.055001259E0,8.066065788E0
2.224443080E-1,-3.579331636E0,3.057395458E0,8.355764389E0
2.324541540E-1,-3.541024208E0,3.062183857E0,8.619126320E0
2.424332310E-1,-3.620033026E0,3.083731890E0,9.030928612E0
2.524430770E-1,-3.512293816E0,3.126827478E0,9.306262016E0
2.624529230E-1,-3.347094059E0,3.203441858E0,9.490615845E0
2.724626930E-1,-2.980781078E0,3.339911461E0,9.943120003E0
2.824418460E-1,-2.466027737E0,3.280056238E0,9.627084732E0
2.924516930E-1,-2.367865562E0,2.944868088E0,9.229647636E0
3.024614620E-1,-2.482787132E0,2.765302896E0,9.064447403E0
3.124406160E-1,-2.494758129E0,2.703053713E0,8.894459724E0
3.224504620E-1,-2.463633537E0,2.681505919E0,8.571242332E0
3.324602310E-1,-2.193088770E0,2.932897091E0,8.643068314E0
3.424393850E-1,-2.080561161E0,3.019088268E0,8.920795441E0
3.524492310E-1,-2.233790159E0,2.959233284E0,9.265560150E0
3.624590010E-1,-2.777273893E0,2.741360903E0,9.119514465E0
3.724381540E-1,-3.213018656E0,2.398990154E0,9.071630478E0
3.824480010E-1,-3.452438831E0,1.936909199E0,8.753201485E0
3.924577700E-1,-3.347094059E0,1.728613615E0,9.222464561E0
